,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_kernel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0,1168.9909350395203,144.5038552332542,0.39714679718017576,0.34851778221490637,0.1,"1**2 * RBF(length_scale=[1, 1, 1, 1])","{'alpha': 0.1, 'kernel': 1**2 * RBF(length_scale=[1, 1, 1, 1])}",0.5523210105022857,0.7704566615666278,0.7988444562525274,0.7767937986526192,0.5592057634507919,0.6915243380849704,0.11126955734838001,4,-1.2285594282516312,-0.8954840384919133,-1.0134228205455988,-0.9101118234563822,-1.1109099315119897,-1.031697608451503,0.1254594562770608,4
1,3885.2179227352144,440.72714951385234,0.42063159942626954,0.20923474244654566,0.1,"1**2 * RBF(length_scale=[1, 1, 1, 1]) + 1**2 * RationalQuadratic(alpha=1, length_scale=1)","{'alpha': 0.1, 'kernel': 1**2 * RBF(length_scale=[1, 1, 1, 1]) + 1**2 * RationalQuadratic(alpha=1, length_scale=1)}",0.5032472790068911,0.8521446461462542,0.846121894928584,0.7764451768747784,0.667698000635975,0.7291313995184965,0.1310384117634822,3,-1.2941450043706444,-0.7186940176898388,-0.8863660056065142,-0.9108222898464368,-0.9645558354770307,-0.954916630598093,0.18847462734560858,3
2,1539.7773512363433,167.6112497284896,0.4619475841522217,0.276623717823558,0.2,"1**2 * RBF(length_scale=[1, 1, 1, 1])","{'alpha': 0.2, 'kernel': 1**2 * RBF(length_scale=[1, 1, 1, 1])}",0.6026310836067004,0.8147004558724649,0.8321151943232049,0.7740873790404129,0.6907454743989783,0.7428559174483522,0.08541986034113225,2,-1.157470040991018,-0.8045678562014497,-0.925828131512838,-0.9156128419554662,-0.9305054637069231,-0.9467968668735389,0.11514323155040439,2
3,2243.68540019989,567.4446878591834,0.09892106056213379,0.02641597798232633,0.2,"1**2 * RBF(length_scale=[1, 1, 1, 1]) + 1**2 * RationalQuadratic(alpha=1, length_scale=1)","{'alpha': 0.2, 'kernel': 1**2 * RBF(length_scale=[1, 1, 1, 1]) + 1**2 * RationalQuadratic(alpha=1, length_scale=1)}",0.6811844478002047,0.867365984698613,0.8460206411467284,0.8146583266273707,0.7157336165294664,0.7849926033604766,0.07343403965975152,1,-1.0367703348231259,-0.6806956278304368,-0.886657577793371,-0.8293315130421707,-0.8921207643640711,-0.8651151635706352,0.11484764752510505,1
